0,-29.885
1,35.438
2,-36.643
3,0.027
4,-22.818
5,0.321
6,29.530
7,-63.629
8,39.684
9,50.704
10,-7.663
11,-24.922
12,32.751
13,44.734
14,-0.900
15,0.642
16,0.068
17,-45.842
18,0.006
19,-46.770
20,-1.975
21,42.081
22,17.302
23,0.650
24,47.046
25,36.024
26,-31.958
27,3.608
28,23.835
29,63.137
30,2.580
31,-44.736
32,-23.421
33,-27.007
34,24.131
35,26.561
36,-29.819
37,-7.270
38,-58.283
39,37.990
40,16.926
41,-29.607
42,-1.672
43,-22.749
44,-18.014
45,28.761
46,-0.564
47,-1.008
48,26.968
49,24.629
50,-31.195
51,-58.625
52,31.341
53,19.780
54,62.299
55,-40.661
56,53.338
57,0.285
58,-8.312
59,-0.150
60,15.745
61,-30.296
62,1.169
63,35.213
64,-31.865
65,-30.551
66,-1.538
67,-26.431
68,0.032
69,-32.170
70,0.006
71,-48.268
72,28.181
73,24.778
74,-33.139
75,1.467
76,31.536
77,-1.127
78,30.759
79,58.328
80,30.049
81,0.097
82,73.577
83,27.614
84,0.134
85,-60.388
86,-15.466
87,34.067
88,-54.421
89,-18.689
90,0.885
91,20.464
92,0.795
93,-23.574
94,-41.166
95,-24.728
96,26.813
97,-39.485
98,-25.494
99,-18.415
